grid,cell_value,n,d,method,rep,seed,fit_seconds,status,timestamp
n,500,500,20,AutoEncoder,1,1,0.1297,OK,2026-07-12 07:23:29
n,500,500,20,AutoEncoder,2,2,0.128,OK,2026-07-12 07:23:29
n,500,500,20,AutoEncoder,3,3,0.1268,OK,2026-07-12 07:23:29
n,500,500,20,AutoEncoder,4,4,0.13,OK,2026-07-12 07:23:29
n,500,500,20,AutoEncoder,5,5,0.1283,OK,2026-07-12 07:23:29
n,500,500,20,AutoEncoder,6,6,0.1265,OK,2026-07-12 07:23:29
n,500,500,20,AutoEncoder,7,7,0.1294,OK,2026-07-12 07:23:29
n,500,500,20,AutoEncoder,8,8,0.1316,OK,2026-07-12 07:23:30
n,500,500,20,AutoEncoder,9,9,0.128,OK,2026-07-12 07:23:30
n,500,500,20,AutoEncoder,10,10,0.13,OK,2026-07-12 07:23:30
