"dataset","method","labeling","TPR_mean","TPR_sd","TNR_mean","TNR_sd","BA_mean","BA_sd","F2_mean","F2_sd","n_seeds"
"Lymphography","ECOD","true_rate",0.833333333333333,NA,0.992957746478873,NA,0.913145539906103,NA,0.833333333333333,NA,1
"Lymphography","LUNAR","contam_0.1",1,0,0.936619718309859,0,0.96830985915493,0,0.769230769230769,0,5
"Lymphography","LUNAR","true_rate",0.733333333333333,0.0912870929175277,0.988732394366197,0.00385720110919131,0.861032863849765,0.0475721470133595,0.733333333333333,0.0912870929175277,5
"Musk","AutoEncoder","contam_0.1",0.523711340206186,0.021127733538061,0.913929173693086,0.000691193980840432,0.718820256949636,0.0109094637594507,0.365994236311239,0.0147650587405758,5
"Musk","AutoEncoder","true_rate",0.379381443298969,0.00461044943814388,0.979696458684654,0.000150830892242836,0.679538950991812,0.00238064016519336,0.379381443298969,0.0046104494381439,5
"Musk","ECOD","contam_0.1",0.793814432989691,NA,0.922765598650927,NA,0.858290015820309,NA,0.554755043227666,NA,1
"Musk","ECOD","true_rate",0.494845360824742,NA,0.983473861720067,NA,0.739159611272405,NA,0.494845360824742,NA,1
"Musk","LUNAR","contam_0.1",0.144329896907216,0.173887915396217,0.901517706576728,0.00568874461835852,0.522923801741973,0.0897883300072875,0.100864553314121,0.12152109361263,5
"Musk","LUNAR","true_rate",0.0969072164948454,0.104780007812552,0.970455311973019,0.00342787883906154,0.533681264233932,0.0541039433258067,0.0969072164948453,0.104780007812552,5
"Speech","AutoEncoder","contam_0.1",0.118032786885246,0.0137157381399029,0.900193103448276,0.000230802765940427,0.509112945166761,0.00697327045292167,0.0587275693311582,0.00682430690484563,5
"Speech","AutoEncoder","true_rate",0.0262295081967213,0.00897905831975682,0.983613793103448,0.000151095877932489,0.504921650650085,0.00456507709884463,0.0262295081967213,0.00897905831975683,5
"Speech","ECOD","contam_0.1",0.114754098360656,NA,0.900137931034483,NA,0.507446014697569,NA,0.0570962479608483,NA,1
"Speech","ECOD","true_rate",0.0327868852459016,NA,0.983724137931035,NA,0.508255511588468,NA,0.0327868852459017,NA,1
"Speech","LUNAR","contam_0.1",0.131147540983607,0.0259203086899047,0.900413793103448,0.000436176228988739,0.515780667043527,0.0131782424594467,0.0652528548123981,0.0128967278147161,5
