dataset,method,metric,value,source_table,source_line
waveform,SU-MCCD,F2,0.335,SM-tab:Real_Data_Result2.2,580
waveform,UN-MCCD,TPR,0.860,SM-tab:Real_Data_Result2.1,562
waveform,UN-MCCD,TNR,0.664,SM-tab:Real_Data_Result2.1,562
waveform,UN-MCCD,BA,0.762,SM-tab:Real_Data_Result2.2,581
waveform,UN-MCCD,F2,0.267,SM-tab:Real_Data_Result2.2,581
waveform,SUN-MCCD,TPR,0.620,SM-tab:Real_Data_Result2.1,563
waveform,SUN-MCCD,TNR,0.898,SM-tab:Real_Data_Result2.1,563
waveform,SUN-MCCD,BA,0.759,SM-tab:Real_Data_Result2.2,582
waveform,SUN-MCCD,F2,0.387,SM-tab:Real_Data_Result2.2,582
waveform,LOF,TPR,0.000,SM-tab:Real_Data_Result2.1,564
waveform,LOF,TNR,1.000,SM-tab:Real_Data_Result2.1,564
waveform,LOF,BA,0.500,SM-tab:Real_Data_Result2.2,583
waveform,LOF,F2,0.000,SM-tab:Real_Data_Result2.2,583
waveform,DBSCAN,TPR,0.090,SM-tab:Real_Data_Result2.1,565
waveform,DBSCAN,TNR,0.996,SM-tab:Real_Data_Result2.1,565
waveform,DBSCAN,BA,0.543,SM-tab:Real_Data_Result2.2,584
waveform,DBSCAN,F2,0.107,SM-tab:Real_Data_Result2.2,584
waveform,MST,TPR,0.670,SM-tab:Real_Data_Result2.1,566
waveform,MST,TNR,0.484,SM-tab:Real_Data_Result2.1,566
waveform,MST,BA,0.577,SM-tab:Real_Data_Result2.2,585
waveform,MST,F2,0.153,SM-tab:Real_Data_Result2.2,585
waveform,ODIN,TPR,0.370,SM-tab:Real_Data_Result2.1,567
waveform,ODIN,TNR,0.844,SM-tab:Real_Data_Result2.1,567
waveform,ODIN,BA,0.607,SM-tab:Real_Data_Result2.2,586
waveform,ODIN,F2,0.193,SM-tab:Real_Data_Result2.2,586
waveform,iForest,TPR,0.000,SM-tab:Real_Data_Result2.1,568
waveform,iForest,TNR,0.999,SM-tab:Real_Data_Result2.1,568
waveform,iForest,BA,0.500,SM-tab:Real_Data_Result2.2,587
waveform,iForest,F2,0.000,SM-tab:Real_Data_Result2.2,587
wilt,U-MCCD,TPR,0.763,SM-tab:Real_Data_Result2.1,560
wilt,U-MCCD,TNR,0.630,SM-tab:Real_Data_Result2.1,560
wilt,U-MCCD,BA,0.696,SM-tab:Real_Data_Result2.2,579
wilt,U-MCCD,F2,0.336,SM-tab:Real_Data_Result2.2,579
wilt,SU-MCCD,TPR,0.300,SM-tab:Real_Data_Result2.1,561
wilt,SU-MCCD,TNR,0.785,SM-tab:Real_Data_Result2.1,561
wilt,SU-MCCD,BA,0.542,SM-tab:Real_Data_Result2.2,580
wilt,SU-MCCD,F2,0.185,SM-tab:Real_Data_Result2.2,580
wilt,UN-MCCD,TPR,0.140,SM-tab:Real_Data_Result2.1,562
wilt,UN-MCCD,TNR,0.897,SM-tab:Real_Data_Result2.1,562
wilt,UN-MCCD,BA,0.519,SM-tab:Real_Data_Result2.2,581
wilt,UN-MCCD,F2,0.117,SM-tab:Real_Data_Result2.2,581
wilt,SUN-MCCD,TPR,0.366,SM-tab:Real_Data_Result2.1,563
wilt,SUN-MCCD,TNR,0.745,SM-tab:Real_Data_Result2.1,563
wilt,SUN-MCCD,BA,0.555,SM-tab:Real_Data_Result2.2,582
wilt,SUN-MCCD,F2,0.206,SM-tab:Real_Data_Result2.2,582
wilt,LOF,TPR,0.031,SM-tab:Real_Data_Result2.1,564
wilt,LOF,TNR,0.973,SM-tab:Real_Data_Result2.1,564
wilt,LOF,BA,0.502,SM-tab:Real_Data_Result2.2,583
wilt,LOF,F2,0.035,SM-tab:Real_Data_Result2.2,583
wilt,DBSCAN,TPR,0.000,SM-tab:Real_Data_Result2.1,565
wilt,DBSCAN,TNR,0.959,SM-tab:Real_Data_Result2.1,565
wilt,DBSCAN,BA,0.673,SM-tab:Real_Data_Result2.2,584
wilt,DBSCAN,F2,0.381,SM-tab:Real_Data_Result2.2,584
wilt,MST,TPR,0.553,SM-tab:Real_Data_Result2.1,566
wilt,MST,TNR,0.672,SM-tab:Real_Data_Result2.1,566
wilt,MST,BA,0.612,SM-tab:Real_Data_Result2.2,585
wilt,MST,F2,0.266,SM-tab:Real_Data_Result2.2,585
wilt,ODIN,TPR,0.062,SM-tab:Real_Data_Result2.1,567
wilt,ODIN,TNR,0.976,SM-tab:Real_Data_Result2.1,567
wilt,ODIN,BA,0.519,SM-tab:Real_Data_Result2.2,586
wilt,ODIN,F2,0.069,SM-tab:Real_Data_Result2.2,586
wilt,iForest,TPR,0.004,SM-tab:Real_Data_Result2.1,568
wilt,iForest,TNR,0.953,SM-tab:Real_Data_Result2.1,568
wilt,iForest,BA,0.479,SM-tab:Real_Data_Result2.2,587
wilt,iForest,F2,0.004,SM-tab:Real_Data_Result2.2,587
