"dataset","method","n","d","cutoff","calibrated","TPR","TNR","BA","F2"
"Thyroid","UNCCD-OOS",3656,6,4,2,0.118279569892473,0.964355879876509,0.541317724884491,0.107843137254902
"Thyroid","UNCCD-IOS",3656,6,1,2,1,0.731406118439517,0.865703059219759,0.327004219409283
"Thyroid","UNCCD-IOS",3656,6,1.1875,2,1,0.754420432220039,0.87721021611002,0.347014925373134
"Thyroid","UNCCD-IOS",3656,6,1.375,2,1,0.779399382542801,0.889699691271401,0.371702637889688
"Thyroid","UNCCD-IOS",3656,6,1.5625,2,0.989247311827957,0.797361773786135,0.893304542807046,0.387858347386172
"Thyroid","UNCCD-IOS",3656,6,1.75,2,0.989247311827957,0.81139489194499,0.900321101886474,0.404929577464789
"Thyroid","UNCCD-IOS",3656,6,1.9375,2,0.989247311827957,0.822340724108897,0.905794017968427,0.419325432999088
"Thyroid","UNCCD-IOS",3656,6,2,2,0.989247311827957,0.826550659556553,0.907898985692255,0.425138632162662
"Thyroid","UNCCD-IOS",3656,6,2.125,2,0.989247311827957,0.832444569183272,0.910845940505615,0.433553251649387
"Thyroid","UNCCD-IOS",3656,6,2.3125,2,0.989247311827957,0.843390401347179,0.916318856587568,0.450097847358121
"Thyroid","UNCCD-IOS",3656,6,2.5,2,0.978494623655914,0.853774908784732,0.916134766220323,0.46239837398374
"Thyroid","UNCCD-IOS",3656,6,2.6875,2,0.967741935483871,0.86359809149593,0.915670013489901,0.474683544303797
"Thyroid","UNCCD-IOS",3656,6,2.875,2,0.956989247311828,0.873140611843952,0.91506492957789,0.487404162102957
"Thyroid","UNCCD-IOS",3656,6,3.0625,2,0.956989247311828,0.882121807465619,0.919555527388723,0.505107832009081
"Thyroid","UNCCD-IOS",3656,6,3.25,2,0.924731182795699,0.888015717092338,0.906373449944018,0.501750291715286
"Thyroid","UNCCD-IOS",3656,6,3.4375,2,0.903225806451613,0.894470951445411,0.898848378948512,0.504807692307692
